average(station_latitude),average(station_longitude)
62.31801264,-139.9146814837
28.072,-53.3657215865
53.8631,-174.37716843
66.4324,-123.7866134431
66.488,-125.1612234195
12.9671,-82.1759114229
10.256,-81.8364602072
15.6231,-60.7354902591
52.1995,173.5428808361
58.9838,-155.6438521989
13.8974,-95.3259913208
19.9988,-96.1377946189
13.6887,-67.5928419026
14.5268,-89.9784840093
30.176,7.4079197264
52.3667,-186.5856409045
18.4623,-99.6220459658
27.8454,-113.524730351
10.1896,-86.8352345895
14.9779,-90.1713305482
17.5619,-136.6247993466
13.243,-70.3450886643
52.5463,175.6266388089
53.6426,-172.1789791055
60.95247894,-155.2540298869
15.3523,-94.1934461117
53.2566,-172.2036997781
52.6424,176.3796068655
55.7589389678,-157.2022628706
19.3798,-104.9683583001
18.4689,-96.9112971813
12.0928,-85.6616729647
52.2174,-179.9303154871
18.0588,-100.1704871543
10.0212,-83.7362733629
52.6066,177.1124329954
19.5313,-119.4110554845
16.6154,-102.2825498997
52.3210389678,-115.2859628706
17.607,-98.1278157032
18.0881,-74.0308704979
15.6934,-94.5154185618
21.1692,-98.8628028135
13.0074,-84.5971146653
15.4338,-97.502580775
18.1277,-62.1299736233
51.1318389678,173.3088371294
52.7982,171.3377858129
67.4513389678,-161.5470628706
53.0226,190.4144102359
20.8911,-76.353
65.866,-122.631
12.3695,-85.0183948547
15.4326,-91.5045427863
10.0227,-84.6659
52.2129,-168.586240171
14.7331,-24.3119846618
14.7555,-86.3120606303
54.9039,-177.6464917867
52.7523,176.5330944692
53.0304,193.1169333285
14.5426,-85.266664649
19.5744988,-62.4243877069
16.0698,-76.3169526442
16.5175,-60.2558410267
14.0329,-90.9331083046
13.6816,-79.2862244443
15.2844,-111.8192813961
52.5633,-140.67965033
16.6281,-67.2647740876
19.72089603,-57.8298860714
11.5034,-83.0392798838
16.2209,-86.1671464347
16.1735,-91.3896558537
16.4728,-95.9149734204
15.9144,-88.5321976108
31.2817,-115.076015992
31.2851,-114.5132378336
31.2513,-115.1491979996
31.2226,-116.1212792214
31.3008,-114.1003880087
31.4295,-112.4967429986
16.8535,-88.6014992955
11.9878,-84.6758009904
52.9788,-216.4170629299
13.7461,-155.7473751847
11.5629,-82.5071917299
13.6873,-84.9608429642
54.69461553,-121.8721247254
53.2175,-132.7745277631
15.4672,-99.8337231792
13.2105,-91.3790648202
13.6738,-95.8242920019
13.7402,-86.8766882049
14.8982,-111.5437744144
54.859,-164.1789887284
41.5166013,-125.3020932899
14.2044,-89.12948439
12.0999,-88.4035183463
15.407,-93.011972834
9.8065,-79.0980868508
9.9066,-78.9489888599
10.2747,-83.0657680111
17.1927,-108.9911123201
12.5779,-87.3811671601
15.416,-93.017
10.0047,-84.7754
12.8494,-83.2293131429
16.3064,-94.0423187489
19.4097,-80.4808331259
16.1802,-89.8234300398
55.6714,-159.8360629929
16.0326,-97.6561752688
20.4169,-74.468114146
17.6019,-96.6641299476
13.4346,-93.6469777722
53.1874,-174.2853128366
17.8633,-96.0026176846
22.69758725,-63.4448316579
10.2433,-81.7164229613
51.2249389678,-179.3586628706
17.6247,-96.8234242369
12.6903,-79.951445752
12.7412,-91.6750468012
43.12330433,-120.9406654386
14.562,-82.5351622693
78.28259748,-96.7821753342
78.5967,-96.9092674802
10.2682,-88.5503409209
12.9222,-87.3331956155
57.2695,-153.2477463947
14.7898,-100.4705125082
48.5540389678,-114.3559628706
23.7626,-154.5792123161
18.3633,-141.7696660463
52.372,-181.0106464535
16.5245,-95.1326887147
53.0457,-172.8675018425
33.2019,-87.8939913877
14.5303,-100.7295472776
14.5894,-83.0766690469
17.9134,-87.652846085
56.6868389678,-156.3345628706
21.4644,-104.5565005287
12.7948,8.9897760768
35.5873,-110.3700175679
15.4616,-86.647319269
30.4325,-96.4366774719
51.8543389678,-171.4118628706
51.6922389678,-171.2796628706
24.0808,-107.6388251285
10.5692,-76.4496117528
19.9945,-94.3676800919
19.4805,-98.6200502546
62.2575716,-140.0086791829
15.727,-91.7245726286
75.957923,-174.8928207347
53.724,-170.2411569004
54.8181,176.9501096184
54.7987,180.8609964383
54.18507762,176.4957563247
54.8116,178.423
54.8205,178.4971268779
53.8202,177.6103717266
54.7499,176.130442125
52.6246,-179.6709373716
54.0836,-168.6309389023
15.6756,-93.2541385891
18.6,-103.2611609452
15.559,-92.9251049132
28.2866,-111.5210923426
17.6147,-98.2336626952
53.05177305,177.4627264599
53.3371,176.8691029683
53.2513,175.263011599
69.4045,-116.3704806746
19.3409,-80.5695857556
19.3285,-80.3945620242
53.087,179.4450927384
10.535,-79.4426
11.9338,-87.4704048616
16.6559,-94.5986221504
20.2641,-94.4165058125
12.2321,-85.8453150059
19.4041,-95.2513084309
52.337,-178.6363877396
14.9695,-91.0433267431
13.3652,-87.4506753457
53.7685,175.3857121555
11.5998,-87.4214227917
16.442,-94.9664551009
13.7731,-77.9162057836
51.8543389678,-171.4118628706
53.72747714,185.6585726478
53.9194,178.5032386396
20.7549,-92.711248599
28.7208,-128.0921696981
15.4658,-91.1548952153
12.5,-88.3
13.1963,-86.2458892558
37.8448,1.9696715428
-24.9024,27.6293789414
35.0149,51.6753778522
35.1477,34.5684628675
-24.0569,28.0793277383
36.211,-5.9346178774
1.6646,29.9211873364
-8.2286,46.3975361054
